19.052137,-155.622528,Naalehu,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.100167,-155.725803,Ocean View,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.269226,-155.757929,Captain Cook,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.278298,-155.845329,Honaunau,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.343913,-155.874923,Kealakekua,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.390023,-155.152268,Pahoa,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.440523,-155.250569,Volcano,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.534945,-155.125657,Mountain View,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.564519,-155.262030,Hilo,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.569277,-155.034859,Kurtistown,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.581873,-155.032104,Keaau,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.593456,-155.438015,Hawaii National Park,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.593456,-155.438015,Hilo,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.593456,-155.438015,Honomu,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.593456,-155.438015,Kailua Kona,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.593456,-155.438015,Keauhou,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.593456,-155.438015,Paauhau,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.593456,-155.438015,Pahala,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.618904,-155.948308,Holualoa,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.674123,-155.936565,Kailua Kona,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
19.798878,-155.116093,Papaikou,11,Hawaii,2015-03-01,2015-03-01,2015-03-01,verified
